file,treatment,fly,orientation,n_turns,turn_bias,switchiness,clumpiness,distance_mm,walking_speed_mm_s,fraction_walking,tortuosity
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,41,inverse,366,0.4849315068493151,0.7864285499630793,2.093125655463858,15482.314681467491,4.436138099506072,0.43627236144866327,3.574933756075801
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,42,inverse,969,0.5733471074380165,0.8793151194216869,0.5833743765817605,35830.44138547231,6.393420267565474,0.7439615210344708,3.2310115587329937
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,43,inverse,753,0.7367021276595744,1.0159737908924311,0.5271823113091716,29259.80300721369,5.347740615520253,0.7125461318849662,3.332975558068561
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,44,upright,997,0.5933734939759037,0.7185255096690447,0.35682257647276316,37081.24297991124,6.479280277629395,0.7666401322637928,3.302628685431884
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,45,upright,1125,0.5382562277580071,0.886758452815515,0.3578992216548499,40271.269171230175,6.680449032446161,0.8203711325761225,3.105969684779691
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,46,upright,979,0.532719836400818,0.8963667040409449,0.42241327371380893,38056.71751887873,6.212986312524769,0.8281114087888383,3.3591589816546574
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,47,inverse,753,0.550531914893617,1.0385705699245282,3.5782968983222334,27394.16967309791,7.29113912375279,0.5059027099439033,2.91329631505176
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,48,inverse,882,0.70261066969353,1.125764500901927,0.39230862433801844,34418.80852700691,6.030653502145163,0.7693013327688251,3.4780229949970143
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,49,upright,944,0.5461293743372216,0.8458407116427604,0.5381357985769029,35988.966182201475,6.275234504052035,0.7679544544457405,3.271384948157332
NNYM_07-07-2025-08-58-05__Y-Maze_cs-p_female_dosed_1-87_Day1.hdf5,0.5uM,0,inverse,525,0.37595419847328243,0.9250022045857342,0.7403427878409099,24845.081581785067,4.463651434487459,0.7052087052696665,3.8095824141339145
